pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
7t84	G	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/07/22	Structure of angiotensin II type I receptor (AT1R) nanobody antagonist AT118i4h32 G26D T57I variant	synthetic construct	synthetic construct			Nemeth, G.R., Skiba, M.A., Kruse, A.C.	1.6	X-RAY DIFFRACTION	0.190	0.165	False	True	IGHV3	NA	NA	None	None	None	None	None
7t84	H	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/07/22	Structure of angiotensin II type I receptor (AT1R) nanobody antagonist AT118i4h32 G26D T57I variant	synthetic construct	synthetic construct			Nemeth, G.R., Skiba, M.A., Kruse, A.C.	1.6	X-RAY DIFFRACTION	0.190	0.165	False	True	IGHV3	NA	NA	None	None	None	None	None
8gz5	B	NA	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	12/07/22	Crystal structure of neutralizing VHH P17 in complex with SARS-CoV-2 Alpha variant spike receptor-binding domain	Severe acute respiratory syndrome coronavirus 2; Vicugna pacos	vicugna pacos		severe acute respiratory syndrome coronavirus2 	Yamaguchi, K., Anzai, I., Maeda, R., Moriguchi, M., Watanabe, T., Imura, A., Takaori-Kondo, A., Inoue, T.	1.7	X-RAY DIFFRACTION	0.189	0.171	False	True	IGHV1	NA	NA	None	None	None	None	None
8gz6	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/07/22	Crystal structure of neutralizing VHH P17 in complex with SARS-CoV-2 Alpha variant spike receptor-binding domain	Vicugna pacos	vicugna pacos			Yamaguchi, K., Anzai, I., Maeda, R., Moriguchi, M., Watanabe, T., Imura, A., Takaori-Kondo, A., Inoue, T.	1.35	X-RAY DIFFRACTION	0.180	0.149	False	True	IGHV1	NA	NA	None	None	None	None	None
8gz6	B	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/07/22	Crystal structure of neutralizing VHH P17 in complex with SARS-CoV-2 Alpha variant spike receptor-binding domain	Vicugna pacos	vicugna pacos			Yamaguchi, K., Anzai, I., Maeda, R., Moriguchi, M., Watanabe, T., Imura, A., Takaori-Kondo, A., Inoue, T.	1.35	X-RAY DIFFRACTION	0.180	0.149	False	True	IGHV1	NA	NA	None	None	None	None	None
7tjc	A	NA	0	A	Hapten	CLM	CHLORAMPHENICOL	IMMUNE SYSTEM	11/23/22	VHH Chl-B2 in complex with Chloramphenicol	Vicugna pacos	vicugna pacos		vicugna pacos	Nordeen, S.A., Schwartz, T.U.	1.35	X-RAY DIFFRACTION	0.235	0.200	False	True	IGHV1	NA	NA	None	None	None	None	None
7tjc	B	NA	0	B	Hapten	CLM	CHLORAMPHENICOL	IMMUNE SYSTEM	11/23/22	VHH Chl-B2 in complex with Chloramphenicol	Vicugna pacos	vicugna pacos		vicugna pacos	Nordeen, S.A., Schwartz, T.U.	1.35	X-RAY DIFFRACTION	0.235	0.200	False	True	IGHV1	NA	NA	None	None	None	None	None
7unz	C	NA	0	B	protein	NA	cysteine-rich small secreted protein css, putative	CELL INVASION	11/23/22	Crystal structure of H2 nanobody in complex with PfCSS	Plasmodium falciparum; Vicugna pacos	vicugna pacos		plasmodium falciparum	Scally, S.W., Cowman, A.F.	2.03	X-RAY DIFFRACTION	0.217	0.185	False	True	IGHV1	NA	NA	None	None	None	None	None
7unz	A	NA	0	D	protein	NA	cysteine-rich small secreted protein css, putative	CELL INVASION	11/23/22	Crystal structure of H2 nanobody in complex with PfCSS	Plasmodium falciparum; Vicugna pacos	vicugna pacos		plasmodium falciparum	Scally, S.W., Cowman, A.F.	2.03	X-RAY DIFFRACTION	0.217	0.185	False	True	IGHV1	NA	NA	None	None	None	None	None
7wki	B	NA	0	A	protein	NA	complement factor h	IMMUNE SYSTEM	11/23/22	Structure of the ultra-affinity complex between CFH and a nanobody	Homo sapiens; Vicugna pacos	vicugna pacos		homo sapiens	Caaveiro, J.M.M., Yokoo, T., Tsumoto, K.	2.6	X-RAY DIFFRACTION	0.239	0.192	False	True	IGHV1	NA	NA	None	None	None	None	None
8ew6	V	NA	0	W	protein	NA	t-cell surface glycoprotein cd8 alpha chain	IMMUNE SYSTEM	11/23/22	Anti-human CD8 VHH complex with CD8 alpha	Homo sapiens; Lama glama	lama glama		homo sapiens	Kiefer, J.R., Williams, S., Davies, C.W., Koerber, J.T., Sriraman, S.K., Yin, Y.P.	1.904	X-RAY DIFFRACTION	0.245	0.200	False	True	IGHV1	NA	NA	None	None	None	None	None
7q3q	B	NA	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN	11/16/22	Crystal structure of SARS-CoV-2 RBD in complex with the neutralizing nanobody VHH-12	Severe acute respiratory syndrome coronavirus 2; Vicugna pacos	vicugna pacos		severe acute respiratory syndrome coronavirus2 	Fernandez, I., Pederzoli, R., Rey, F.A.	2.3	X-RAY DIFFRACTION	0.220	0.185	False	True	IGHV1	NA	NA	None	None	None	None	None
7q3r	F	NA	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN	11/16/22	Crystal structure of SARS-CoV-2 RBD in complex with the neutralizing nanobodies VHH-F04 and VHH-G09	Severe acute respiratory syndrome coronavirus 2; Vicugna pacos	vicugna pacos		severe acute respiratory syndrome coronavirus2 	Fernandez, I., Pederzoli, R., Rey, F.A.	1.92	X-RAY DIFFRACTION	0.209	0.182	False	True	IGHV1	NA	NA	None	None	None	None	None
7q3r	G	NA	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN	11/16/22	Crystal structure of SARS-CoV-2 RBD in complex with the neutralizing nanobodies VHH-F04 and VHH-G09	Severe acute respiratory syndrome coronavirus 2; Vicugna pacos	vicugna pacos		severe acute respiratory syndrome coronavirus2 	Fernandez, I., Pederzoli, R., Rey, F.A.	1.92	X-RAY DIFFRACTION	0.209	0.182	False	True	IGHV1	NA	NA	None	None	None	None	None
7xl0	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/09/22	Crystal structure of Vobarilizumab at 1.70 Angstrom	Lama glama	lama glama			Caaveiro, J.M.M., Mori, C., Kinoshita, S., Nakakido, M., Tsumoto, K.	1.7	X-RAY DIFFRACTION	0.196	0.152	False	True	IGHV3	NA	NA	None	None	None	None	None
7xl0	B	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/09/22	Crystal structure of Vobarilizumab at 1.70 Angstrom	Lama glama	lama glama			Caaveiro, J.M.M., Mori, C., Kinoshita, S., Nakakido, M., Tsumoto, K.	1.7	X-RAY DIFFRACTION	0.196	0.152	False	True	IGHV3	NA	NA	None	None	None	None	None
7xl1	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/09/22	Crystal structure of chimeric 7D12-Vob nanobody at 1.65 Angstrom	Lama glama	lama glama			Caaveiro, J.M.M., Kinoshita, S., Mori, C., Nakakido, M., Tsumoto, K.	1.65	X-RAY DIFFRACTION	0.206	0.156	False	True	IGHV1	NA	NA	None	None	None	None	None
7xl1	B	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/09/22	Crystal structure of chimeric 7D12-Vob nanobody at 1.65 Angstrom	Lama glama	lama glama			Caaveiro, J.M.M., Kinoshita, S., Mori, C., Nakakido, M., Tsumoto, K.	1.65	X-RAY DIFFRACTION	0.206	0.156	False	True	IGHV1	NA	NA	None	None	None	None	None
7tgf	B	NA	0	A	protein	NA	ricin chain a	IMMUNE SYSTEM/TOXIN	10/12/22	Single-domain VHH intrabodies neutralize ricin toxin.	Ricinus communis; Vicugna pacos	vicugna pacos		ricinus communis	Rudolph, M.J., Mantis, N.	1.347	X-RAY DIFFRACTION	0.181	0.158	False	True	IGHV1	NA	NA	None	None	None	None	None
7tgi	B	NA	0	A	protein	NA	ricin chain a	IMMUNE SYSTEM/TOXIN	10/12/22	Single-domain VHH intrabodies neutralize ricin toxin	Ricinus communis; Vicugna pacos	vicugna pacos		ricinus communis	Rudolph, M.J.	2.104	X-RAY DIFFRACTION	0.222	0.176	False	True	IGHV1	NA	NA	None	None	None	None	None
7th2	C	NA	0	A	protein	NA	ricin a chain	IMMUNE SYSTEM/TOXIN	10/12/22	Single-domain VHH intrabodies neutralize ricin toxin	Ricinus communis; Vicugna pacos	vicugna pacos		ricinus communis	Rudolph, M.J., Mantis, N.	1.838	X-RAY DIFFRACTION	0.187	0.149	False	True	IGHV1	NA	NA	None	None	None	None	None
7th2	D	NA	0	B	protein	NA	ricin a chain	IMMUNE SYSTEM/TOXIN	10/12/22	Single-domain VHH intrabodies neutralize ricin toxin	Ricinus communis; Vicugna pacos	vicugna pacos		ricinus communis	Rudolph, M.J., Mantis, N.	1.838	X-RAY DIFFRACTION	0.187	0.149	False	True	IGHV1	NA	NA	None	None	None	None	None
7sah	B	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	09/14/22	Crystal Structure of LaG16 Nanobody bound to eGFP	Aequorea victoria; Lama glama	lama glama			Cong, A.T.Q., Schellenberg, M.J.	1.6	X-RAY DIFFRACTION	0.177	0.156	False	True	IGHV1	NA	NA	None	None	None	None	None
7sai	C	NA	0	A	protein	NA	green fluorescent protein	IMMUNE SYSTEM	09/14/22	Crystal Structure of Lag30 Nanobody bound to eGFP	Aequorea victoria; Lama glama	lama glama		aequorea victoria	Cong, A.T.Q., Schellenberg, M.J.	2.23	X-RAY DIFFRACTION	0.197	0.171	False	True	IGHV1	NA	NA	None	None	None	None	None
7sak	B	NA	0	A	protein	NA	mcherry	IMMUNE SYSTEM	09/14/22	Crystal Structure of LaM4 Nanobody bound to mCherry	Discosoma sp.; Lama glama	lama glama		discosoma sp.	Cong, A.T.Q., Schellenberg, M.J.	1.15	X-RAY DIFFRACTION	0.144	0.117	False	True	IGHV1	NA	NA	None	None	None	None	None
7sal	C	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	09/14/22	Crystal Structure of LaM6 Nanobody bound to mCherry	Discosoma sp.; Lama glama	lama glama			Cong, A.T.Q., Schellenberg, M.J.	1.93	X-RAY DIFFRACTION	0.191	0.161	False	True	IGHV1	NA	NA	None	None	None	None	None
7sal	D	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	09/14/22	Crystal Structure of LaM6 Nanobody bound to mCherry	Discosoma sp.; Lama glama	lama glama			Cong, A.T.Q., Schellenberg, M.J.	1.93	X-RAY DIFFRACTION	0.191	0.161	False	True	IGHV1	NA	NA	None	None	None	None	None
7nbb	D	NA	0	A | C | B	protein | protein | protein	NA | NA | NA	polyubiquitin-b | polyubiquitin-b | polyubiquitin-b	SIGNALING PROTEIN	08/10/22	Branched Lys48- and Lys63-linked tri-ubiquitin (K48-K63-Ub3) in complex with synthetic nanobody NbSL3	Homo sapiens; synthetic construct	synthetic construct		homo sapiens | homo sapiens | homo sapiens	Lange, S.M., Kulathu, Y.	1.55	X-RAY DIFFRACTION	0.212	0.175	False	True	IGHV1	NA	NA	None	None	None	None	None
7nbb	H	NA	0	E | F | G	protein | protein | protein	NA | NA | NA	polyubiquitin-b | polyubiquitin-b | polyubiquitin-b	SIGNALING PROTEIN	08/10/22	Branched Lys48- and Lys63-linked tri-ubiquitin (K48-K63-Ub3) in complex with synthetic nanobody NbSL3	Homo sapiens; synthetic construct	synthetic construct		homo sapiens | homo sapiens | homo sapiens	Lange, S.M., Kulathu, Y.	1.55	X-RAY DIFFRACTION	0.212	0.175	False	True	IGHV1	NA	NA	None	None	None	None	None
7voa	A	NA	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN/ANTIVIRAL PROTEIN	08/10/22	Crystal structure of SARS-CoV-2 RBD in complex with aRBD5	Severe acute respiratory syndrome coronavirus 2; Vicugna pacos	vicugna pacos		severe acute respiratory syndrome coronavirus2 	Ma, H., Zeng, W.H., Jin, T.C.	1.8	X-RAY DIFFRACTION	0.226	0.186	False	True	IGHV1	NA	NA	None	None	None	None	None
7vke	B	NA	0	A	protein	NA	adp-ribosyl cyclase/cyclic adp-ribose hydrolase 1	HYDROLASE	08/03/22	Crystal structure of human CD38 ECD in complex with UniDab(TM) F11A	Homo sapiens	homo sapiens		homo sapiens	Schooten, W.V., Schellenberger, U., Ugamraj, H.S., Manicka, S., Bijpuria, S., Gondu, R.K.	1.9	X-RAY DIFFRACTION	0.231	0.193	False	True	IGHV3	NA	NA	None	None	None	None	None
7ozt	A	NA	0	B	protein	NA	unknown	CELL CYCLE	01/08/09	Nanobodies restore stability to cancer-associated mutants of tumor suppressor protein p16INK4a	Homo sapiens; Lama glama				Pastok, M.W., Burbidge, O., Itzhaki, L., Endicott, J.A., Noble, M.E.M.	1.74	X-RAY DIFFRACTION	0.209	0.180	False	False	IGHV1	NA	NA	None	None	None	None	None
7vpy	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/20/22	Crystal structure of the neutralizing nanobody P86 against SARS-CoV-2	Vicugna pacos	vicugna pacos			Maeda, R., Fujita, J., Konishi, Y., Kazuma, Y., Yamazaki, H., Anzai, I., Yamaguchi, K., Kasai, K., Nagata, K., Yamaoka, Y., Miyakawa, K., Ryo, A., Shirakawa, K., Makino, F., Matsuura, Y., Inoue, T., Imura, A., Namba, K., Takaori-Kondo, A.	1.6	X-RAY DIFFRACTION	0.213	0.177	False	True	IGHV1	NA	NA	None	None	None	None	None
7vpy	B	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/20/22	Crystal structure of the neutralizing nanobody P86 against SARS-CoV-2	Vicugna pacos	vicugna pacos			Maeda, R., Fujita, J., Konishi, Y., Kazuma, Y., Yamazaki, H., Anzai, I., Yamaguchi, K., Kasai, K., Nagata, K., Yamaoka, Y., Miyakawa, K., Ryo, A., Shirakawa, K., Makino, F., Matsuura, Y., Inoue, T., Imura, A., Namba, K., Takaori-Kondo, A.	1.6	X-RAY DIFFRACTION	0.213	0.177	False	True	IGHV1	NA	NA	None	None	None	None	None
8cwu	B	NA	0	A	protein	NA	spike protein s1	IMMUNE SYSTEM	07/06/22	Crystal structure of SARS-CoV-2 spike protein receptor-binding domain in complex with a cross-neutralizing nanobody 1-21	Lama glama; Severe acute respiratory syndrome coronavirus 2	lama glama		severe acute respiratory syndrome coronavirus2 	Liu, H., Wilson, I.A.	1.71	X-RAY DIFFRACTION	0.203	0.185	False	True	IGHV1	NA	NA	None	None	None	None	None
6fe4	F	NA	0	A	protein	NA	shiga-like toxin 2 subunit b	TOXIN	12/29/17	Crystal structure of the complex between Shiga toxin Stx2 B subunit and neutralising Nb113	ENTEROBACTERIA PHAGE 933W; VICUGNA PACOS	vicugna pacos		enterobacteria phage 933w	Bernedo, R., Muyldermans, S., Sterckx, Y.G.J.	3.0	X-RAY DIFFRACTION	0.207	0.169	False	True	IGHV3	NA	NA	None	None	None	None	None
6fe4	I	NA	0	D	protein	NA	shiga-like toxin 2 subunit b	TOXIN	12/29/17	Crystal structure of the complex between Shiga toxin Stx2 B subunit and neutralising Nb113	ENTEROBACTERIA PHAGE 933W; VICUGNA PACOS	vicugna pacos		enterobacteria phage 933w	Bernedo, R., Muyldermans, S., Sterckx, Y.G.J.	3.0	X-RAY DIFFRACTION	0.207	0.169	False	True	IGHV3	NA	NA	None	None	None	None	None
6fe4	H	NA	0	C	protein	NA	shiga-like toxin 2 subunit b	TOXIN	12/29/17	Crystal structure of the complex between Shiga toxin Stx2 B subunit and neutralising Nb113	ENTEROBACTERIA PHAGE 933W; VICUGNA PACOS	vicugna pacos		enterobacteria phage 933w	Bernedo, R., Muyldermans, S., Sterckx, Y.G.J.	3.0	X-RAY DIFFRACTION	0.207	0.169	False	True	IGHV3	NA	NA	None	None	None	None	None
6fe4	J	NA	0	E	protein	NA	shiga-like toxin 2 subunit b	TOXIN	12/29/17	Crystal structure of the complex between Shiga toxin Stx2 B subunit and neutralising Nb113	ENTEROBACTERIA PHAGE 933W; VICUGNA PACOS	vicugna pacos		enterobacteria phage 933w	Bernedo, R., Muyldermans, S., Sterckx, Y.G.J.	3.0	X-RAY DIFFRACTION	0.207	0.169	False	True	IGHV3	NA	NA	None	None	None	None	None
6fe4	G	NA	0	B	protein	NA	shiga-like toxin 2 subunit b	TOXIN	12/29/17	Crystal structure of the complex between Shiga toxin Stx2 B subunit and neutralising Nb113	ENTEROBACTERIA PHAGE 933W; VICUGNA PACOS	vicugna pacos		enterobacteria phage 933w	Bernedo, R., Muyldermans, S., Sterckx, Y.G.J.	3.0	X-RAY DIFFRACTION	0.207	0.169	False	True	IGHV3	NA	NA	None	None	None	None	None
5l21	B	NA	0	A	protein	NA	botulinum neurotoxin type a	TOXIN	07/29/16	Crystal structure of BoNT/A receptor binding domain in complex with VHH C2	CLOSTRIDIUM BOTULINUM (STRAIN HALL / ATCC 3502 / NCTC 13319 / TYPE A); VICUGNA PACOS	vicugna pacos		clostridium botulinum (strain hall / atcc 3502/ nctc 13319 / type a) 	Yao, G., Jin, R.	1.68	X-RAY DIFFRACTION	0.205	0.193	False	True	unknown	unknown	unknown	None	None	None	None	None
7a17	B	NA	0	A	protein	NA	isoform 2 of synaptojanin-1	HYDROLASE	08/12/20	Crystal structure of the 5-phosphatase domain of Synaptojanin1 bound to its substrate diC8-PI(3,4,5)P3 in complex with a nanobody	HOMO SAPIENS; LAMA GLAMA	lama glama		homo sapiens	Paesmans, J., Galicia, C., Martin, E., Versees, W.	2.73	X-RAY DIFFRACTION	0.257	0.196	False	True	IGHV1	NA	NA	None	None	None	None	None
7a17	F	NA	0	E	protein	NA	isoform 2 of synaptojanin-1	HYDROLASE	08/12/20	Crystal structure of the 5-phosphatase domain of Synaptojanin1 bound to its substrate diC8-PI(3,4,5)P3 in complex with a nanobody	HOMO SAPIENS; LAMA GLAMA	lama glama		homo sapiens	Paesmans, J., Galicia, C., Martin, E., Versees, W.	2.73	X-RAY DIFFRACTION	0.257	0.196	False	True	IGHV1	NA	NA	None	None	None	None	None
7a17	D	NA	0	C	protein	NA	isoform 2 of synaptojanin-1	HYDROLASE	08/12/20	Crystal structure of the 5-phosphatase domain of Synaptojanin1 bound to its substrate diC8-PI(3,4,5)P3 in complex with a nanobody	HOMO SAPIENS; LAMA GLAMA	lama glama		homo sapiens	Paesmans, J., Galicia, C., Martin, E., Versees, W.	2.73	X-RAY DIFFRACTION	0.257	0.196	False	True	IGHV1	NA	NA	None	None	None	None	None
5ja9	B	NA	0	D	protein	NA	toxin higb-2	TOXIN	04/12/16	Crystal structure of the HigB2 toxin in complex with Nb6	LAMA GLAMA; VIBRIO CHOLERAE SEROTYPE O1 (STRAIN ATCC 39315 / EL TOR INABA N16961)	lama glama		vibrio cholerae serotype o1 (strain atcc 39315/ el tor inaba n16961) 	Hadzi, S., Loris, R.	1.849	X-RAY DIFFRACTION	0.241	0.195	False	True	IGHV1	NA	NA	None	None	None	None	None
5ja9	A	NA	0	C	protein	NA	toxin higb-2	TOXIN	04/12/16	Crystal structure of the HigB2 toxin in complex with Nb6	LAMA GLAMA; VIBRIO CHOLERAE SEROTYPE O1 (STRAIN ATCC 39315 / EL TOR INABA N16961)	lama glama		vibrio cholerae serotype o1 (strain atcc 39315/ el tor inaba n16961) 	Hadzi, S., Loris, R.	1.849	X-RAY DIFFRACTION	0.241	0.195	False	True	IGHV1	NA	NA	None	None	None	None	None
4u3x	A	NA	0	B	protein	NA	lysozyme c	IMMUNE SYSTEM	07/23/14	Structure of a human VH antibody domain binding to the cleft of hen egg lysozyme	HOMO SAPIENS; GALLUS GALLUS	homo sapiens		gallus gallus	Rouet, R., Langley, D.B., Christ, D.	2.26	X-RAY DIFFRACTION	0.248	0.189	False	True	IGHV3	NA	NA	None	None	None	None	None
4u3x	C	NA	0	D	protein	NA	lysozyme c	IMMUNE SYSTEM	07/23/14	Structure of a human VH antibody domain binding to the cleft of hen egg lysozyme	HOMO SAPIENS; GALLUS GALLUS	homo sapiens		gallus gallus	Rouet, R., Langley, D.B., Christ, D.	2.26	X-RAY DIFFRACTION	0.248	0.189	False	True	IGHV3	NA	NA	None	None	None	None	None
6ul6	C	NA	0	A	protein	NA	bont/a	TOXIN/ANTITOXIN	10/07/19	Crystal Structure of BoNT/A-LCHn domain in complex with VNA ciA-D12/11/ciA-B5 and VHH ciA-H7	CLOSTRIDIUM BOTULINUM; VICUGNA PACOS	vicugna pacos		clostridium botulinum	Lam, K., Jin, R.	2.02	X-RAY DIFFRACTION	0.194	0.183	False	True	IGHV1	NA	NA	None	None	None	None	None
6ul6	B	NA	0	A	protein	NA	bont/a	TOXIN/ANTITOXIN	10/07/19	Crystal Structure of BoNT/A-LCHn domain in complex with VNA ciA-D12/11/ciA-B5 and VHH ciA-H7	CLOSTRIDIUM BOTULINUM; VICUGNA PACOS	vicugna pacos		clostridium botulinum	Lam, K., Jin, R.	2.02	X-RAY DIFFRACTION	0.194	0.183	False	True	IGHV1	NA	NA	None	None	None	None	None
4b50	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	08/02/12	Crystal structure of the HIV-1 gp41 MPER-specific llama VHH 2H10	LAMA GLAMA	lama glama			Lutje Hulsik, D., Sabin, C., Macheboeuf, P., Weissenhorn, W.	1.3	X-RAY DIFFRACTION	0.17963	0.14502	False	True	IGHV1	NA	NA	None	None	None	None	None
7qbf	B	NA	0	A	protein	NA	transcobalamin-2	TRANSPORT PROTEIN	11/19/21	TC:CD320 in complex with nanobody TC-Nb34	HOMO SAPIENS; VICUGNA PACOS	vicugna pacos		homo sapiens	Bloch, J.S., Locher, K.P.	1.85	X-RAY DIFFRACTION	0.205	0.174	False	True	IGHV1	NA	NA	None	None	None	None	None
7r63	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	06/22/21	Nb82, a nanobody against voltage gated sodium channels Nav1.4 and Nav1.5	LAMA GLAMA	lama glama			Srinivasan, L., Gabelli, S.B.	2.0	X-RAY DIFFRACTION	0.244	0.184	False	True	IGHV1	NA	NA	None	None	None	None	None
7r63	C	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	06/22/21	Nb82, a nanobody against voltage gated sodium channels Nav1.4 and Nav1.5	LAMA GLAMA	lama glama			Srinivasan, L., Gabelli, S.B.	2.0	X-RAY DIFFRACTION	0.244	0.184	False	True	IGHV1	NA	NA	None	None	None	None	None
7r63	B	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	06/22/21	Nb82, a nanobody against voltage gated sodium channels Nav1.4 and Nav1.5	LAMA GLAMA	lama glama			Srinivasan, L., Gabelli, S.B.	2.0	X-RAY DIFFRACTION	0.244	0.184	False	True	IGHV1	NA	NA	None	None	None	None	None
7r63	D	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	06/22/21	Nb82, a nanobody against voltage gated sodium channels Nav1.4 and Nav1.5	LAMA GLAMA	lama glama			Srinivasan, L., Gabelli, S.B.	2.0	X-RAY DIFFRACTION	0.244	0.184	False	True	IGHV1	NA	NA	None	None	None	None	None
2p42	D	NA	0	C	protein	NA	ribonuclease pancreatic	HYDROLASE/IMMUNE SYSTEM	03/11/07	Complex of a camelid single-domain vhh antibody fragment with RNASE A at 1.8A resolution: SE3-mono-2 crystal form with three se-met sites (M34, M51, M83) in vhh scaffold	CAMELUS DROMEDARIUS; BOS TAURUS	camelus dromedarius		bos taurus	Tereshko, V., Uysal, S., Koide, A., Margalef, K., Koide, S., Kossiakoff, A.A.	1.8	X-RAY DIFFRACTION	0.215	0.171	False	True	IGHV1	NA	NA	2.30E-08	-10.59	Other	30	18445622
2p42	B	NA	0	A	protein	NA	ribonuclease pancreatic	HYDROLASE/IMMUNE SYSTEM	03/11/07	Complex of a camelid single-domain vhh antibody fragment with RNASE A at 1.8A resolution: SE3-mono-2 crystal form with three se-met sites (M34, M51, M83) in vhh scaffold	CAMELUS DROMEDARIUS; BOS TAURUS	camelus dromedarius		bos taurus	Tereshko, V., Uysal, S., Koide, A., Margalef, K., Koide, S., Kossiakoff, A.A.	1.8	X-RAY DIFFRACTION	0.215	0.171	False	True	IGHV1	NA	NA	2.30E-08	-10.59	Other	30	18445622
7n0r	D	NA	0	B	protein	NA	nucleoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	05/25/21	Structure of the SARS-CoV-2 N protein RNA-binding domain bound to single-domain antibody C2	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; LAMA GLAMA	lama glama		severe acute respiratory syndrome coronavirus2 	Ye, Q., Corbett, K.D.	1.42	X-RAY DIFFRACTION	0.166	0.141	False	True	IGHV3	NA	NA	None	None	None	None	None
7n0r	C	NA	0	A	protein	NA	nucleoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	05/25/21	Structure of the SARS-CoV-2 N protein RNA-binding domain bound to single-domain antibody C2	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; LAMA GLAMA	lama glama		severe acute respiratory syndrome coronavirus2 	Ye, Q., Corbett, K.D.	1.42	X-RAY DIFFRACTION	0.166	0.141	False	True	IGHV3	NA	NA	None	None	None	None	None
6u53	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	08/26/19	Anti-Zaire ebolavirus Nucleoprotein Single Domain Antibody Zaire C (ZC)	LAMA GLAMA	lama glama			Taylor, A.B., Sherwood, L.J., Hart, P.J., Hayhurst, A.	1.49	X-RAY DIFFRACTION	0.249	0.188	False	True	IGHV1	NA	NA	None	None	None	None	None
3k74	B	NA	0	A	protein	NA	dihydrofolate reductase	OXIDOREDUCTASE	10/12/09	Disruption of protein dynamics by an allosteric effector antibody	ESCHERICHIA COLI K-12; LAMA GLAMA	lama glama		escherichia coli k-12	Oyen, D., Srinivasan, V., Steyaert, J., Barlow, J.	1.95	X-RAY DIFFRACTION	0.240	0.196	False	True	IGHV1	NA	NA	None	None	None	None	None
4w2p	B	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	08/17/17	Anti-Marburgvirus Nucleoprotein Single Domain Antibody C	LAMA GLAMA	lama glama			Taylor, A.B., Garza, J.A.	1.77	X-RAY DIFFRACTION	0.203	0.165	False	True	IGHV1	NA	NA	None	None	None	None	None
4w2p	D	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	08/17/17	Anti-Marburgvirus Nucleoprotein Single Domain Antibody C	LAMA GLAMA	lama glama			Taylor, A.B., Garza, J.A.	1.77	X-RAY DIFFRACTION	0.203	0.165	False	True	IGHV1	NA	NA	None	None	None	None	None
4w2p	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	08/17/17	Anti-Marburgvirus Nucleoprotein Single Domain Antibody C	LAMA GLAMA	lama glama			Taylor, A.B., Garza, J.A.	1.77	X-RAY DIFFRACTION	0.203	0.165	False	True	IGHV1	NA	NA	None	None	None	None	None
4w2p	C	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	08/17/17	Anti-Marburgvirus Nucleoprotein Single Domain Antibody C	LAMA GLAMA	lama glama			Taylor, A.B., Garza, J.A.	1.77	X-RAY DIFFRACTION	0.203	0.165	False	True	IGHV1	NA	NA	None	None	None	None	None
7oau	B	NA	0	A	protein	NA	unknown	ANTIVIRAL PROTEIN	04/20/21	Nanobody C5 bound to Kent variant RBD (N501Y)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; LAMA GLAMA				Naismith, J.H., Mikolajek, H.	1.65	X-RAY DIFFRACTION	0.199	0.175	False	False	IGHV1	NA	NA	None	None	None	None	None
